g_best   iteration_n
14643.273940748404 0
14643.273940748404 1
14643.273940748404 2
14592.221721674188 3
9616.138461264925 4
9616.138461264925 5
9616.138461264925 6
9616.138461264925 7
9616.138461264925 8
9616.138461264925 9
8593.048389302097 10
8502.915050103618 11
8502.915050103618 12
5409.090451645168 13
5409.090451645168 14
5409.090451645168 15
5409.090451645168 16
5409.090451645168 17
5409.090451645168 18
5409.090451645168 19
